,Address,Latitude,Longitude,X,Y,Distance from center
54,"Đường số 79, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, 756604",10.739894502675472,106.71057175660998,687057.385186285,1187740.1546667994,4058.324777540541
55,"Phi Saigon, 247, Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Thành phố Hồ Chí Minh, 756604",10.739864268307016,106.71605683319174,687657.385186285,1187740.1546667994,4357.751713900126
56,"Cầu Đa Khoa, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh, 756604",10.739833937258028,106.72154189339645,688257.385186285,1187740.1546667994,4714.870093650458
57,"Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh, 756604",10.73980350952987,106.72702693717181,688857.385186285,1187740.1546667994,5117.616632769544
58,"Nguyễn Văn Quỳ, Phường Phú Thuận, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, 756604",10.739772985123922,106.73251196446557,689457.385186285,1187740.1546667994,5556.077753235593
59,"Phường 3, Quận 6, Thành phố Hồ Chí Minh, 750510",10.744932775748588,106.64751768383154,680157.385186285,1188259.76990907,5977.457653551299
60,"Bến Bình Đông, Phường 13, Quận 8, Thành phố Hồ Chí Minh, 750510",10.744903640274163,106.65300302969297,680757.385186285,1188259.76990907,5474.4862772683055
61,"Hẻm 75 Cao Xuân Dục, Phường 12, Quận 8, Thành phố Hồ Chí Minh, 72000",10.744874408060488,106.65848835977741,681357.385186285,1188259.76990907,4992.995093127871
62,"Hẻm 88 Dã Tượng, Phường 10, Quận 8, Thành phố Hồ Chí Minh, 72000",10.744845079108876,106.66397367403255,681957.385186285,1188259.76990907,4539.823785126356
63,"Nguyễn Duy, Phường 9, Quận 8, Thành phố Hồ Chí Minh, 72000",10.74481565342066,106.6694589724061,682557.385186285,1188259.76990907,4124.318125460134
64,"Hẻm 672 Phạm Thế Hiển, Phường 4, Quận 8, Thành phố Hồ Chí Minh, 72000",10.744786130997168,106.6749442548458,683157.385186285,1188259.76990907,3758.989225842367
65,"Hẻm 154/51 Âu Dương Lân, Phường 3, Quận 8, Thành phố Hồ Chí Minh, 756912",10.744756511839737,106.68042952129933,683757.385186285,1188259.76990907,3459.7687784010936
66,"Tạ Quang Bửu, Phường 2, Quận 8, Thành phố Hồ Chí Minh, 756912",10.744726795949703,106.68591477171442,684357.385186285,1188259.76990907,3244.996147917436
67,"Hẻm 511 Dương Bá Trạc, Phường 1, Quận 8, Thành phố Hồ Chí Minh, 756912",10.744696983328408,106.6914000060388,684957.385186285,1188259.76990907,3132.091952673005
68,"Đường số 7, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, 756912",10.744667073977206,106.69688522422014,685557.385186285,1188259.76990907,3132.091952673005
69,"Đường số 15, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, 756912",10.744637067897449,106.7023704262062,686157.385186285,1188259.76990907,3244.996147917436
70,"Đường số 19, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, 756604",10.744606965090489,106.70785561194465,686757.385186285,1188259.76990907,3459.7687784010936
71,"Đường Số 37, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, 756604",10.744576765557692,106.71334078138325,687357.385186285,1188259.76990907,3758.989225842367
72,"Hẻm 300/34 Nguyễn Văn Linh, Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh, 756604",10.744546469300419,106.7188259344697,687957.385186285,1188259.76990907,4124.318125460134
73,"Lý Phục Man, Phường Bình Thuận, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, 756604",10.744516076320044,106.72431107115172,688557.385186285,1188259.76990907,4539.823785126356
74,"Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, 756604",10.744485586617941,106.72979619137702,689157.385186285,1188259.76990907,4992.995093127871
75,"Đường Số 8, Khu Dân Cư Nam Long, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, 756604",10.744455000195487,106.73528129509334,689757.385186285,1188259.76990907,5474.4862772683055
76,"Cầu Phú Mỹ, Phú Mỹ Hưng, Phường Tân Phú, Phường Thạnh Mỹ Lợi, Quận 7, Thành phố Hồ Chí Minh, 756604",10.744424317054067,106.7407663822484,690357.385186285,1188259.76990907,5977.457653551299
77,"Bửu Đình, Phường 5, Quận 6, Thành phố Hồ Chí Minh, 750510",10.749644839417986,106.64480044252785,679857.385186285,1188779.3851513406,5992.4953066314465
78,"Lê Tấn Kế, Phường 2, Quận 6, Thành phố Hồ Chí Minh, 750510",10.749615739305618,106.65028588099908,680457.385186285,1188779.3851513406,5458.021619598067
79,"Kim Biên, Phường 13, Quận 5, Thành phố Hồ Chí Minh, 750510",10.749586542410077,106.65577130371828,681057.385186285,1188779.3851513406,4938.623289946289
80,"Đường Võ Văn Kiệt, Phường 6, Quận 5, Thành phố Hồ Chí Minh, 72000",10.74955724873268,106.66125671063314,681657.385186285,1188779.3851513406,4439.5945760846125
81,"Bình Đông, Phường 11, Quận 8, Thành phố Hồ Chí Minh, 72000",10.749527858274757,106.66674210169138,682257.385186285,1188779.3851513406,3968.6269665968744
82,"Võ Văn Kiệt, Phường 6, Quận 5, Thành phố Hồ Chí Minh, 72000",10.749498371037628,106.67222747684072,682857.385186285,1188779.3851513406,3536.9478367654656
83,"Viện Vệ sinh Y tế công cộng, 159, Hưng Phú, Phường 9, Quận 8, Thành phố Hồ Chí Minh, 756912",10.749468787022636,106.67771283602885,683457.385186285,1188779.3851513406,3160.6961258558067
84,"Hẻm 304 Phạm Thế Hiển, Phường 3, Quận 8, Thành phố Hồ Chí Minh, 756912",10.749439106231113,106.68319817920346,684057.385186285,1188779.3851513406,2861.8176042508208
85,"Hẻm 45 Dương Bá Trạc, Phường 1, Quận 8, Thành phố Hồ Chí Minh, 756912",10.749409328664404,106.68868350631229,684657.385186285,1188779.3851513406,2666.458325194659
