,Keys,Name,Lat,Lon,Addres,5,Is_italian,X,Y
1216,4f6e9574e4b0861077bc8d15,Nhà Hàng Dầu Khí Thanh Đa,10.81183846,106.7208926,"Thanh Đa - Bình Quới, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",251,FALSE,688141.6171,1195704.578
1217,4c74cd12ff1fb60c8b82f4a7,Com Ga 24,10.808315,106.727133,"9c Thao Dien, Thành phố Hồ Chí Minh",345,FALSE,688826.2687,1195318.68
1218,508c06f4e4b019412c65c048,Big Bowl,10.81719102,106.6636298,3rd level international departure hall,302,FALSE,681876.2999,1196261.935
1219,587896a1b3cdc808fe409895,Big Bowl,10.81343727,106.6616678,Việt Nam,209,FALSE,681664.0049,1195845.553
1220,5381a87a498e15919e902687,Big Bowl,10.81580648,106.6642675,"No Idea, Ho Chi Minh City, hochiminh",315,FALSE,681946.8653,1196109.167
1221,5af1295cb9a5a8002c7a5e78,Saigon Cafe.Bar.Kitchen,10.816277,106.664068,"Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",349,FALSE,681924.7664,1196161.094
1222,5094ff5fe4b053f9fb5aabc6,Next Noodles,10.81721855,106.6635421,Việt Nam,298,FALSE,681866.6857,1196264.928
1223,4e1044d81495c8d31bbc4425,Kaisha Sushi,10.81729574,106.6637033,"Tan Son Nhat International airport, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",316,FALSE,681884.2676,1196273.562
1224,4d21aefdb69c6dcbf7477b95,Lotus Restaurant,10.81734562,106.6637266,"3rd Flr., Tan Son Nhat Airport, Tan Binh Dist., Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",322,FALSE,681886.7845,1196279.093
1225,4c03a554310fc9b61a23c661,Prima Taste Restaurant,10.81725819,106.663657,"Tan Son Nhat International Airport, Tân Bình, Thành phố Hồ Chí Minh",310,FALSE,681879.2262,1196269.381
1226,50cda23ae4b07c15442baf48,Bún Đậu Mắm Tôm,10.81328575,106.6663862,"6 Hong Ha St., Ward 2, Tan Binh Dist. (None), Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",236,FALSE,682180.0734,1195831.606
1227,4e5cd8fa18a8a75fa2745d4d,Lẩu Dê Bảy Hồng,10.81452884,106.6668468,"2B/12 Bach Dang St., Wd. 2, Tan Binh Dist., Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",89,FALSE,682229.6954,1195969.383
1228,4e71fcfcc65bae37845bcec1,Lẩu Đuôi Bò B112 Bạch Đằng,10.815425,106.669933,"Bạch Đằng, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",291,FALSE,682566.6447,1196070.354
1229,4e8c48d92c5b6d0b18bd0a8a,Trung tâm nghệ thuật Ốc Len quán,10.818206,106.666088,"B76 Bạch Đằng, P.2, Tân Bình",342,FALSE,682144.497,1196375.671
1230,4ed311fdb634dd2994b22809,Cơm Huế,10.81439252,106.6713146,"35 Bạch Đằng, F2, Tân Bình, Hồ Chí Minh",169,FALSE,682718.3542,1195956.976
1231,4e6b5635b0fb8b8a84962e38,Nhà Hàng Thuần Việt,10.81371443,106.6720228,"53/17E Bạch Đằng, P.2 (Q.Tân Bình), HCM",183,FALSE,682796.2079,1195882.394
1232,4f68687ee4b09652f875751d,Vua Hai San Nha Trang,10.81551571,106.6750685,"122 Bach Dang, P.2, Q. Tan Binh, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",330,FALSE,683128.1859,1196083.465
1233,4e67021862e1706d826ce995,Cơm Việt Nam - Chợ Tân Sơn Nhất,10.81488183,106.6783551,"689/7 Nguyễn Kiệm P3 Gò Vấp, Hồ Chí Minh",49,FALSE,683487.9735,1196015.323
